"Rowid_","ID","YEAR","FULL_ADDRE","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE","Join_id","String","CHECK","AFFILIAT_0","AFFILIAT1","UPDATETAG","State","US_county_id","US_county_name","US_metro_id","US_metro_name","Other_metro","Europe_NUTS_3_rev"
59,"WOS:000320956500014",2013,"Kavli Inst Cornell Nanoscale Sci, Ithaca, NY 14853 USA","Ithaca","NY","USA",42.4405097961,-76.4954605103,27060,"Ithaca NY United States","old mapped address",889,1033,0,"New York",974152,"Tompkins County",27060,"Ithaca, NY Metro Area"," "," "
60,"WOS:000284963400047",2010,"Univ Illinois, Dept Phys, Urbana, IL 61801 USA","Urbana","IL","USA",40.1287918091,-88.2220535278,16580,"Urbana IL United States","old manual",950,1173,0,"Illinois",424211,"Champaign County",16580,"Champaign-Urbana, IL Metro Area"," "," "
61,"WOS:000276696200001",2010,"Univ Michigan, Dept Math & Stat, Dearborn, MI 48128 USA","Dearborn","MI","USA",42.3220901489,-83.1762390137,11460,"Dearborn MI United States","New corrected",1334,1334,0,"Michigan",1623022,"Wayne County",19820,"Detroit-Warren-Dearborn, MI Metro Area"," "," "
62,"WOS:000323901300004",2013,"Nikhef Natl Inst Subat Phys, Amsterdam, Netherlands","Amsterdam"," ","Netherlands",52.3306999207,4.8665399551,"NL326","Amsterdam North Holland Netherlands","old mapped address",761,995,0," "," "," "," "," "," ","NL326"
63,"WOS:000264473700009",2009,"US Geol Survey, Boulder, CO 80303 USA","Boulder","CO","USA",40.0157394409,-105.279243469,14500,"Boulder CO United States","old mapped address",1366,1409,0,"Colorado",198122,"Boulder County",14500,"Boulder, CO Metro Area"," "," "
64,"WOS:000298609600002",2011,"Inst Theoret & Expt Phys, Moscow 117259, Russia","Moscow"," ","Russia",55.7569694519,37.615020752,"Moscow Russia","Moscow Moscow City Russia","old mapped address",678,1090,0," "," "," "," "," ","Moscow Russia"," "
65,"WOS:000321855400020",2013,"CERN, Geneva, Switzerland","Geneva"," ","Switzerland",46.2000999451,6.1673002243,"CH013","Geneva GE Switzerland","old mapped address",352,424,0," "," "," "," "," "," ","CH013"
66,"WOS:000304925700001",2012,"Univ Cambridge, Dept Genet, FlyBase, Cambridge CB2 3EH, England","Cambridge"," ","England",52.2284011841,0.1118500009,"UKH12","Cambridge England United Kingdom","old mapped address",950,1023,0," "," "," "," "," "," ","UKH12"
67,"WOS:000304018500006",2010,"TRIUMF, ATLAS Canada Tier Data Ctr 1, Vancouver, BC V6T 2A3, Canada","Vancouver","BC","Canada",49.2811012268,-123.043998718,"Vancouver Canada","Vancouver BC Canada","old mapped address",1099,1222,0," "," "," "," "," ","Vancouver Canada"," "
68,"WOS:000276443000003",2010,"Univ Utah, Coll Nursing, Salt Lake City, UT 84112 USA","Salt Lake City","UT","USA",40.7603111267,-111.888221741,41620,"Salt Lake City UT United States","old mapped address",1066,1085,0,"Utah",1448031,"Salt Lake County",41620,"Salt Lake City, UT Metro Area"," "," "
