id, name, Metro_name, latitude, longitude, mergeList, totalDegree
2926,"Ignatyevo","Blagoveschensk",50.425394,127.412478,2926|,1320.0
1794,"Ciudad Obregon Intl","Ciudad Obregon",27.392639,-109.833111,1794|,1320.0
41,"Fairmont Hot Springs","Coral Harbour",64.193333,-83.359444,41|,1320.0
5422,"Gurney Airport","Gurney",-10.3115,150.334,5422|,1320.0
1990,"Rangiroa","Rangiroa",-14.954283,-147.6608,1990|,1320.0
5951,"Turbat International Airport","Turbat",25.986369,63.030167,5951|,1320.0
5534,"Whale Cove Airport","Whale Cove",62.24,-92.5981,5534|,1320.0
3288,"Fatmawati Soekarno","Bengkulu",-3.8637,102.339036,3288|,1318.0
800,"East London","East London",-33.035569,27.825939,800|,1314.0
6412,"Jinzhou Airport","Jinzhou",41.1014,121.062,6412|,1312.0
2641,"Chacalluta","Arica",-18.348531,-70.338742,2641|,1311.0
2609,"PlĂÂˇcido de Castro","Rio Branco",-9.583,-67.4836,2609|,1308.0
243,"Ouargla","Ouargla",31.917223,5.412778,243|,1302.0
2106,"Bushehr","Bushehr",28.944811,50.834637,2106|,1300.0
8630,"Bayannur","Bayannur",40.926389,107.738889,8630|,1296.0
3241,"Frans Kaisiepo","Biak",-1.190017,136.107997,3241|,1280.0
7862,"Tengchong Tuofeng Airport","Tengchong",24.938651,98.483591,7862|,1280.0
3243,"Moses Kilangin","Timika",-4.528275,136.887375,3243|,1280.0
6039,"VitĂłria da Conquista Airport","VitĂłria Da Conquista",-14.862761,-40.863106,6039|,1280.0
5507,"Waskaganish Airport","Waskaganish",51.4733,-78.7583,5507|,1280.0
923,"Arrachart","Antsiranana",-12.3494,49.291747,923|,1272.0
3299,"Kuantan","Kuantan",3.775389,103.209056,3299|,1266.0
176,"Whitehorse Intl","Whitehorse",60.709553,-135.067269,176|,1264.0
1149,"Wajir","Wajir",1.733239,40.091606,1149|,1253.3333435059
6188,"Cat Bi International Airport","Haiphong",20.819386,106.724989,6188|,1240.0
6402,"Nyingchi Airport","Nyingchi",29.3033,94.3353,6402|,1240.0
2576,"Lauro Carneiro De Loyola","Joinville",-26.224453,-48.797364,2576|,1232.0
3155,"Paro","Thimphu",27.403192,89.424606,3155|,1232.0
3116,"Pakse","Pakse",15.132053,105.781417,3116|,1230.0
6963,"Tongren","Tongren",27.884,109.31,6963|,1224.0
3346,"Kalgoorlie Boulder","Kalgoorlie",-30.789444,121.461667,3346|,1220.0
4000,"Surat Thani","Surat Thani",9.1325,99.135556,4000|,1220.0
1814,"Valle Del Fuerte Intl","Los Mochis",25.685194,-109.080806,1814|,1216.0
3377,"Pyongyang Intl","Pyongyang",39.224061,125.67015,3377|,1216.0
3329,"Rockhampton","Rockhampton",-23.381944,150.475278,3329|8387|,1212.0
6358,"Enshi Airport","Enshi",30.3203,109.485,6358|,1208.0
5430,"Momote Airport","Momote",-2.06189,147.424,5430|,1208.0
1274,"Pau Pyrenees","FR615",43.38,-0.418611,1274|,1204.0
888,"Bangui M Poko","Bangui",4.398475,18.518786,888|,1202.0
5733,"Dodge City Regional Airport",19980,37.7634,-99.9656,5733|,1200.0
4341,"Liberal Muni",30580,37.044222,-100.95986,4341|,1200.0
2824,"Barquisimeto Intl","Barquisimeto",10.042747,-69.358619,2824|,1200.0
4305,"Ciudad del Este","Ciudad del Este",-25.4555,-54.843592,4305|,1200.0
6255,"Cloncurry Airport","Cloncurry",-20.6686,140.504,6255|,1200.0
37,"Kugluktuk","Coppermine",67.816667,-115.143889,37|,1200.0
1801,"Durango Intl","Durango",24.124194,-104.528014,1801|,1200.0
1465,"Limnos","EL411",39.917072,25.236308,1465|,1200.0
1480,"Sitia","EL432",35.216108,26.101325,1480|,1200.0
1058,"Melilla","ES640",35.279817,-2.956256,1058|,1200.0
5423,"Girua Airport","Girua",-8.80454,148.309,5423|,1200.0
1944,"Governors Harbour","Governor's Harbor",25.284706,-76.331011,1944|,1200.0
5495,"Igloolik Airport","Igloolik",69.3647,-81.8161,5495|,1200.0
3995,"Ilulissat","Ilulissat",69.23444,-51.05111,3995|,1200.0
78,"Kamloops","Kamloops",50.702222,-120.444444,78|,1200.0
7546,"Persian Gulf Airport","Khalije Fars",27.379444,52.7375,7546|,1200.0
2259,"Shang Yi","Kinmen",24.427892,118.359197,2259|,1200.0
2272,"Magong","Makung",23.568669,119.628311,2272|,1200.0
5694,"Malindi Airport","Malindi",-3.22931,40.1017,5694|,1200.0
6354,"Meixian Airport","Meixian",24.35,116.133,6354|,1200.0
2028,"Palmerston North","Palmerston North",-40.320556,175.616944,2028|,1200.0
4363,"Central","Saratov",51.334366,46.022952,4363|,1200.0
6140,"Sovetsky Tyumenskaya Airport","Sovetskiy",61.32,63.6044,6140|,1200.0
2624,"Tefe","Tefe",-3.382944,-64.724056,2624|,1200.0
173,"Terrace","Terrace",54.468508,-128.576219,173|,1200.0
515,"Humberside","UKE13",53.574444,-0.350833,515|9277|,1200.0
541,"Stornoway","UKM64",58.215556,-6.331111,541|538|,1200.0
