id,name,city,country,IATA_FFA,CIAO,Latitude,longitude,totalDegre,ID_metro,affil_ID,Lat_met,Lon_met
1053,La Palma,Santa Cruz De La Palma,Spain,SPC,GCLA,28.626478,-17.755611,2360,ES707,"Nord Opt Telescope, Santa Cruz De La Palma, Spain,28.6837997437,-17.7672996521,Santa Cruz de la Palma Canary Islands Spain,2,2718|3909,1|1|,Santa Cruz de la Palma Canary Islands Spain|Santa Cruz de La Palma  Spain|",28.6838,-17.7673
1056,Tenerife Sur,Tenerife,Spain,TFS,GCTS,28.044475,-16.572489,62106.999878,ES709,"Inst Astrofis Canarias, Tenerife, Spain,28.268611908,-16.605556488,Tenerife Canary Islands Spain,88,696|1208|1632|2483|2814|3703|5084|5148|5191|5807,59|11|8|2|4|1|1|1|1|0|,Tenerife Canary Islands Spain|San Cristobal la Laguna Tenerife Spain|San Cristobal",28.268612,-16.605556
430,Jyvaskyla,Jyvaskyla,Finland,JYV,EFJY,62.399453,25.678253,600,FI193,"Univ Jyvaskyla, FI-40014 Jyvaskyla, Finland,62.2134017944,25.7182006836,JyvÄ‚Â¤skylÄ‚Â¤ West and Inner Finland Finland,98,536|4963|6244,96|1|1|,JyvÄ‚Â¤skylÄ‚Â¤ West and Inner Finland Finland|Kinkomaa  Finland|JyvÄ‚Â¤skylÄ‚Â¤",62.213402,25.718201
462,Vaasa,Vaasa,Finland,VAA,EFVA,63.05065,21.762175,2084,FI195,"Vasa Cent Hosp, Vaasa 65130, Finland,63.0922012329,21.6608009338,Vaasa West and Inner Finland Finland,4,1988|2292,3|1|,Vaasa West and Inner Finland Finland|Pietarsaari  Finland|",63.092201,21.660801
448,Pori,Pori,Finland,POR,EFPO,61.461686,21.799983,720,FI196,"Univ Oulu, Dept Biol, Linnanmaa 90014, Finland,61.2190895081,21.6281509399,Linnanmaa  Finland,2,4178|6396,2|0|,Linnanmaa  Finland|Pori Southwest Finland Finland|",61.21909,21.628151
458,Tampere Pirkkala,Tampere,Finland,TMP,EFTP,61.414147,23.604392,3520,FI197,"Tampere Univ Hosp, Tampere, Finland,61.4978408813,23.762720108,Tampere West and Inner Finland Finland,21,551,21|,Tampere West and Inner Finland Finland|",61.497841,23.76272
421,Helsinki Vantaa,Helsinki,Finland,HEL,EFHK,60.317222,24.963333,51972.933319,FI1B1,"Univ Helsinki, Cent Hosp, Dept Clin Physiol & Nucl Med, Helsinki, Finland,60.2080001831,24.89909935,Helsinki Southern Finland Finland,751,79|1048|2724|4369|5031,733|13|4|1|0|,Helsinki Southern Finland Finland|Espoo Southern Finland Finland|EkenÄ‚Â¤s",60.208,24.899099
460,Turku,Turku,Finland,TKU,EFTU,60.514142,22.262808,2060,FI1C1,"Abo Akad Univ, Turku, Finland,60.4540596008,22.2669944763,Turku Southwest Finland Finland,210,338|650|6639|6692|6790,178|32|0|0|0|,Turku Southwest Finland Finland|PiikkiÄ‚_ Southwest Finland Finland|Piikki  Finland|Piikiio  Finland|Piikio  Finland|",60.45406,22.266994
441,Lappeenranta,Lappeenranta,Finland,LPP,EFLP,61.044553,28.144397,960,FI1C5,"Savitaipale Hlth Ctr, Savitaipale, Finland,61.1929016113,27.6921005249,Savitaipale  Finland,2,3423|4301,1|1|,Savitaipale  Finland|Lappeenranta  Finland|",61.192902,27.692101
439,Kuopio,Kuopio,Finland,KUO,EFKU,63.00715,27.797756,248,FI1D2,"Kuopio Univ Hosp, Dept Clin Physiol & Nucl Med, SF-70210 Kuopio, Finland,62.9057006836,27.6847991943,Kuopio Eastern Finland Finland,209,323|3425,209|0|,Kuopio Eastern Finland Finland|Kangaslampi  Finland|",62.905701,27.684799
429,Joensuu,Joensuu,Finland,JOE,EFJO,62.662906,29.60755,240,FI1D3,"Univ Eastern Finland, Al Virtanen Inst Mol Sci, Dept Neurobiol, Joensuu, Finland,62.604221344,29.7592601776,Joensuu Eastern Finland Finland,15,1418|5951,14|1|,Joensuu Eastern Finland Finland|Kontiolahti  Finland|",62.604221,29.75926
446,Oulu,Oulu,Finland,OUL,EFOU,64.930061,25.354564,1394,FI1D6,"Univ Oulu, Sodankyla Geophys Observ, SF-90100 Oulu, Finland,65.0102996826,25.4734992981,Oulu Northern Finland Finland,173,384|638|1995|4179|4312|5024|5558,101|61|7|2|1|0|1|,Oulu Northern Finland Finland|KylmÄ‚Â¤lÄ‚Â¤ Northern Finland Finland|Aa",65.0103,25.473499
453,Rovaniemi,Rovaniemi,Finland,RVN,EFRO,66.564822,25.830411,2156,FI1D7,"Lapland Cent Hosp, Dept Physiatr, Rovaniemi, Finland,66.4970016479,25.7301006317,Rovaniemi  Finland,0,2890,0|,Rovaniemi  Finland|",66.497002,25.730101
1374,Vatry,Chalons,France,XCR,LFOK,48.776072,4.184492,640,FR213,"Univ Reims, CReSTIC, F-51100 Reims, France,49.2924995422,4.0242199898,Reims Champagne-Ardenne France,6,2143|3827,4|2|,Reims Champagne-Ardenne France|Chalons Sur Marne  France|",49.2925,4.02422
1371,Octeville,Le Havre,France,LEH,LFOH,49.533889,0.088056,240,FR232,"Univ Rouen, FR 3038, Mont St Aignan, France,49.4761009216,1.0971000195,Mount-St-Aignan Upper Normandy France,15,1676|1989,11|4|,Mount-St-Aignan Upper Normandy France|Rouen Upper Normandy France|",49.476101,1.0971
1376,Val De Loire,Tours,France,TUF,LFOT,47.432222,0.727606,1600,FR244,"Univ Tours, Fac Sci, CNRS, UMR 6035,IRBI, F-37200 Tours, France,47.4255981445,0.705129981,Tours Center France,28,986|3398|5156,28|0|0|,Tours Center France|La Riche  France|Tours La Riche France|",47.425598,0.70513
1412,Carpiquet,Caen,France,CFR,LFRK,49.173333,-0.45,1420,FR251,"GANIL, F-14076 Caen 05, France,49.1878013611,-0.354339987,Caen Lower Normandy France,20,1072|4749,19|1|,Caen Lower Normandy France|F Caen  France|",49.187801,-0.35434
1425,Longvic,Dijon,France,DIJ,LFSD,47.26889,5.09,240,FR261,"Univ Burgondy, F-21079 Dijon, France,47.3443984985,5.0650200844,Dijon Burgundy France,9,1291,9|,Dijon Burgundy France|",47.344398,5.06502
1399,Lesquin,Lille,France,LIL,LFQQ,50.561942,3.089444,11164,FR301,"Hop Claude Huriez, Lille, France,50.6194992065,3.0612399578,Lille Nord-Pas-de-Calais France,180,371|1262|1777|3335|4326|4659|6255|6462|6467,155|16|6|2|0|0|0|0|1|,Lille Nord-Pas-de-Calais France|Villeneuve-dĂ˘__Ascq Nord-Pas-de-Calais France|Douai Nord-",50.619499,3.06124
1320,Metz Nancy Lorraine,Metz,France,ETZ,LFJL,48.982142,6.251319,1176,FR413,"Univ Paul Verlaine Metz, LSMCL, Metz, France,49.1099014282,6.1658802032,Metz  France,2,3318,2|,Metz  France|",49.109901,6.16588
1435,Entzheim,Strasbourg,France,SXB,LFST,48.538319,7.628233,8520,FR421,"Univ Strasbourg, CNRS, IN2P3, IPHC, Strasbourg, France,48.5906982422,7.699930191,Strasbourg Alsace France,150,336|774,105|45|,Strasbourg Alsace France|Illkirch-Graffenstaden Alsace France|",48.590698,7.69993
4053,EuroAirport Basel-Mulhouse-Freiburg,Basel,Switzerland,BSL,\N,47.59,7.529167,29015,FR422,"Forenap Ctr Hosp Rouffach, Rouffach, France,47.9608001709,7.3157801628,Rouffach  France,1,3392|4289|4918,0|0|1|,Colmar Alsace France|Mulhouse Alsace France|Rouffach  France|",47.9608,7.31578
