Source,Target,Id,duplicate,UMich,ASU,IUB,IUPUI,Dist2Air,MASS,Seats0Stop,Seats1Stop,Seats2Stop,Seats3Stop,Lines0Stop,Lines1Stop,Lines2Stop,Lines3Stop
"n0","n1493","e33668",1,1,,,,66.64283341028424,28.0,0.0,1470.910942239536,5754.80279318519,212563.25965655356,0.0,6.0,25.487829354822207,170.50984242016258
"n0","n1494","e25698",1,1,,,,24.59796099642524,35.0,0.0,0.0,604.5655875653056,5954.516223429169,0.0,0.0,3.239611801277483,33.9478408573165
"n0","n1495","e25704",1,1,,,,48.538741357376395,134.0,0.0,240.0,1557.3941118974938,67744.76564226166,0.0,2.0,10.581680854052413,75.9905935837785
"n0","n1497","e25741",3,1,,,,7.281169579779541,12541.0,0.0,647.2514967151486,2705.9167857579487,112260.72952816919,0.0,2.6457513110645907,11.827251628311238,90.98591351813846
"n0","n1498","e25748",1,1,,,,56.16864598236315,134.0,120.0,2406.1193100973537,8230.443391357338,234194.48016163282,1.0,18.291616465790582,57.50543222624521,290.2810814296277
"n0","n1500","e25791",2,1,,,,88.70435355171277,1.0,0.0,0.0,901.5253638956146,6094.864961788868,0.0,0.0,4.848807585839879,33.28812341159883
"n0","n1501","e25802",1,1,,,,18.31394926393776,13.0,0.0,2222.287991387855,8502.698674996125,267314.7906988882,0.0,9.848857801796104,39.5117506152456,245.65658385344594
"n0","n1502","e25897",1,1,,,,37.85936334247296,44.0,120.0,1238.7527281158543,4769.228266529836,151115.4304477608,1.0,9.48528137423857,34.14137212490085,190.29279832239737
"n0","n1503","e42826",1,1,,,,2.538479878525052,666.0,0.0,0.0,823.7640981450324,6838.533781568282,0.0,0.0,4.732623491163368,39.6015964628884
"n0","n1507","e26058",2,1,,,,20.761574649222542,823.0,0.0,0.0,485.27896941858756,3273.5154115315972,0.0,0.0,3.1072325059538586,20.98664436480281
"n0","n1508","e26059",1,1,,,,34.865853028384535,1.0,0.0,0.0,751.7784574766353,4483.344579497064,0.0,0.0,4.414004962442103,26.795290109206643
"n0","n1509","e26062",1,1,,,,23.028338286195762,81.0,0.0,942.1942474882767,4291.158314805547,137969.60038872153,0.0,7.14142842854285,29.966183525173065,171.51647768196477
"n0","n1510","e39686",1,1,,,,3.097200900881044,180.0,0.0,922.4306658678111,4578.458424811612,143601.88409530453,0.0,5.477225575051661,25.718470583793295,158.94776630386198
"n0","n1511","e26196",1,1,,,,17.780775962419167,4755.0,0.0,747.6819733906478,3571.8727644371775,123132.65345903546,0.0,3.3166247903554,15.884258188237101,109.78113452955428
"n0","n1512","e26197",1,1,,,,4.378010847562194,12.0,0.0,0.0,1848.9036033756781,13926.31970476962,0.0,0.0,7.107193661172559,59.75040974276484
"n0","n1513","e26198",1,1,,,,36.30391621615922,1.0,0.0,0.0,249.19849980245746,2159.3566645765945,0.0,0.0,1.2599210498948732,11.031958872835947
"n0","n1514","e26195",1,1,,,,5.711125988025582,9.0,0.0,0.0,1315.666313726312,9438.698543654771,0.0,0.0,5.313292845913055,41.15550187893877
"n0","n1515","e35398",2,1,,,,18.330460408734208,164.0,0.0,1480.41638286891,5975.744186029856,201391.25503178593,0.0,5.744562646538029,24.98886860284895,162.81839772713764
"n0","n1516","e35860",1,1,,,,9.423882596246296,1983.0,0.0,0.0,3168.8250418044063,22142.416509469258,0.0,0.0,12.582389103112574,96.05025414282125
"n0","n1517","e26228",1,1,,,,15.09068485057079,4557.0,0.0,0.0,2162.4983991251415,18135.38076138895,0.0,0.0,10.854842211376345,89.13563859031905
"n0","n1518","e28140",1,1,,,,6.912290065097833,940.0,0.0,0.0,1361.1644827456514,8536.908463986763,0.0,0.0,6.307993548663267,40.142421797912974
"n0","n1519","e26343",1,1,,,,44.25773825730194,842.0,0.0,1607.7011538218164,6017.082300586845,185048.63116136732,0.0,10.770329614269007,38.09338080667941,212.73821873518236
"n0","n1521","e41608",1,1,,,,3.032665225591934,793.0,0.0,0.0,2262.6827954377127,22972.285824948252,0.0,0.0,12.446168506412114,99.97173793609082
"n0","n1522","e26398",2,1,,,,10.916721721573648,798.0,0.0,234.60605277784288,1274.9329355602622,66544.55673433204,0.0,1.4142135623730951,6.887917237171522,54.36348497203581
"n0","n1523","e26400",3,1,,,,2.355198130067975,1685.0,0.0,484.5410199353611,2231.954094531408,97468.46025698968,0.0,2.8284271247461903,12.033591207262077,80.6727272266517
"n0","n1525","e26442",1,1,,,,23.407730186825088,35.0,0.0,289.30952282978865,1523.1154044269042,73994.86758565209,0.0,2.23606797749979,10.938256179449748,78.27459913193017
