Source;Target;Id;duplicate;UMich;ASU;IUB;IUPUI;Dist2Air;MASS;Seats0Stop;Seats1Stop;Seats2Stop;Seats3Stop;Lines0Stop;Lines1Stop;Lines2Stop;Lines3Stop;GeoDist;CollabPaperCount;institution;NLink;cosine
n4;n2496;449010;1;;;1;;24.7417565;1;0;0;0;6955.77277;0;0;0;31.49870556;9371.271506;0;3;3;0.865764487
n4;n2497;449011;1;;;1;;31.84584874;1;0;0;0;4437.880623;0;0;0;23.51941513;8143.848261;0;3;3;0.865764487
n4;n2498;449012;1;;;1;;53.1909461;16;0;0;2045.12227;36523.99326;0;0;10.18650015;73.48490795;7664.073089;0;3;2;0.430151168
n4;n2499;449013;1;;;1;;14.89488224;161;0;0;2016.991388;13914.34288;0;0;10.3352985;71.29931689;6972.52038;0;3;2;0.722985694
n4;n2501;449015;1;;;1;;28.27477044;962;0;0;0;678.7536955;0;0;0;6.140491477;3937.65125;0;3;3;0.823720201
n4;n2503;449017;1;;;1;;1.747519244;58;0;0;814.5600446;6020.747579;0;0;5.104468722;36.84214619;4782.315483;0;3;2;0.846044694
n4;n2505;449019;1;;;1;;28.8472814;181;0;0;0;2601.509023;0;0;0;16.70877632;4517.313053;0;3;3;0.784050471
n4;n2506;449020;1;;;1;;21.90170842;1;0;0;578.8104832;5239.906118;0;0;2.351334688;23.54953583;6554.835751;0;3;2;0.865764487
n4;n2507;449021;1;;;1;;80.41836512;55;0;0;2099.496256;14759.74116;0;0;10.66189022;75.17645931;7695.414472;0;3;2;0.489287429
n4;n2508;449022;1;;;1;;54.4076324;1;0;0;1448.064246;10560.62676;0;0;7.634606721;55.58345965;7012.993986;0;3;2;0.865764487
n4;n2509;449023;1;;;1;;23.63957409;1;0;128.2185634;944.6584764;23679.03593;0;1;7;45.15195633;1372.428523;0;3;1;0.865764487
n4;n2511;449025;1;;;1;;11.61375971;2621;0;492.8285706;3103.362437;65849.93218;0;3;18.25633527;113.0852372;4772.797347;0;3;1;0.863153246
n4;n2512;449026;1;;;1;;25.20140337;1;0;0;0;2837.831511;0;0;0;16.54816662;7972.768852;0;3;3;0.865764487
n4;n2513;449027;1;;;1;;3.205451692;101;0;0;0;2800.191531;0;0;0;14.6840889;7489.121756;0;3;3;0.49882705
n4;n2515;449029;1;;;1;;3.036985876;303;0;0;395.6188558;3404.093269;0;0;2.714417617;19.4066749;5652.951379;0;3;2;0.781304502
n4;n2518;449032;1;;;1;;9.292186791;540;0;0;0;1101.547146;0;0;0;6.209644348;7919.057527;0;3;3;0.713845813
n4;n2519;449033;1;;;1;;112.1015947;29;0;0;663.4333483;6350.33227;0;0;3.583047871;32.21677725;8182.821587;0;3;2;0.479566064
n4;n2521;449035;1;;;1;;45.86705669;6579;0;0;1742.573213;16091.42923;0;0;10.61772281;83.17973136;4431.332049;0;3;2;0.63398021
n4;n2522;449036;1;;;1;;57.28219071;17;0;0;0;8703.507576;0;0;0;40.36995759;8346.612117;0;3;3;0.54658459
n4;n2523;449037;1;;;1;;2.011077348;31;0;0;0;1161.365654;0;0;0;6.410070376;8412.049212;0;3;3;0.394162516
